Image URL,ID,DATASET,TOOL,MUT_EXT,ITER,Expected,Predicted,ASS 1,ASS 2,Misclass Human 1,Misclass Human 2,Valid Human 1,Valid Human 2,Validity?,Label Preservation?,
67_INPI_gan_high_iteration61_X963_Y942,67,INPI,gan,high,61,963,942,963,963,0,0,0,0,yes,yes,
50_INPI_gan_high_iteration100_X963_Y725,50,INPI,gan,high,100,963,725,not a real world object,923,1,1,1,0,N/A,no,
76_INPI_gan_high_iteration28_X963_Y925,76,INPI,gan,high,28,963,925,a different real world object,930,1,1,0,0,yes,no,
112_INPI_gan_high_iteration17_X963_Y964,112,INPI,gan,high,17,963,964,963,963,0,0,0,0,yes,yes,
41_INPI_gan_high_iteration24_X963_Y861,41,INPI,gan,high,24,963,861,962,a different real world object,1,1,0,0,yes,no,
36_INPI_gan_high_iteration61_X963_Y467,36,INPI,gan,high,61,963,467,567,963,1,0,0,0,yes,N/A,
38_INPI_gan_high_iteration67_X963_Y964,38,INPI,gan,high,67,963,964,962,927,1,1,0,0,yes,no,
37_INPI_gan_high_iteration33_X963_Y930,37,INPI,gan,high,33,963,930,930,962,1,1,0,0,yes,no,
49_INPI_gan_high_iteration92_X963_Y853,49,INPI,gan,high,92,963,853,not a real world object,930,1,1,1,0,N/A,no,
121_INPI_gan_high_iteration20_X963_Y521,121,INPI,gan,high,20,963,521,963,963,0,0,0,0,yes,yes,
114_INPI_gan_high_iteration29_X963_Y933,114,INPI,gan,high,29,963,933,963,963,0,0,0,0,yes,yes,
97_INPI_gan_high_iteration14_X963_Y964,97,INPI,gan,high,14,963,964,a different real world object,963,1,0,0,0,yes,N/A,
59_INPI_gan_high_iteration40_X963_Y965,59,INPI,gan,high,40,963,965,923,923,1,1,0,0,yes,no,
104_INPI_gan_high_iteration83_X963_Y544,104,INPI,gan,high,83,963,544,963,963,0,0,0,0,yes,yes,
87_INPI_gan_high_iteration36_X963_Y809,87,INPI,gan,high,36,963,809,963,964,0,1,0,0,yes,N/A,
94_INPI_gan_high_iteration50_X963_Y941,94,INPI,gan,high,50,963,941,963,963,0,0,0,0,yes,yes,
32_INPI_gan_high_iteration56_X963_Y934,32,INPI,gan,high,56,963,934,963,963,0,0,0,0,yes,yes,
29_INPI_gan_high_iteration62_X963_Y544,29,INPI,gan,high,62,963,544,963,963,0,0,0,0,yes,yes,
51_INPI_gan_high_iteration1_X963_Y892,51,INPI,gan,high,1,963,892,not a real world object,not a real world object,1,1,1,1,no,N/A,
81_INPI_gan_high_iteration22_X963_Y941,81,INPI,gan,high,22,963,941,963,963,0,0,0,0,yes,yes,
73_INPI_gan_high_iteration16_X963_Y987,73,INPI,gan,high,16,963,987,963,963,0,0,0,0,yes,yes,
108_INPI_gan_high_iteration76_X963_Y926,108,INPI,gan,high,76,963,926,963,963,0,0,0,0,yes,yes,
89_INPI_gan_high_iteration46_X963_Y923,89,INPI,gan,high,46,963,923,963,963,0,0,0,0,yes,yes,
99_INPI_gan_high_iteration59_X963_Y957,99,INPI,gan,high,59,963,957,963,963,0,0,0,0,yes,yes,
86_INPI_gan_high_iteration26_X963_Y567,86,INPI,gan,high,26,963,567,963,963,0,0,0,0,yes,yes,
25_INPI_gan_high_iteration61_X963_Y964,25,INPI,gan,high,61,963,964,963,963,0,0,0,0,yes,yes,
91_INPI_gan_high_iteration51_X963_Y567,91,INPI,gan,high,51,963,567,923,963,1,0,0,0,yes,N/A,
118_INPI_gan_high_iteration27_X963_Y964,118,INPI,gan,high,27,963,964,a different real world object,964,1,1,0,0,yes,no,
66_INPI_gan_high_iteration70_X963_Y962,66,INPI,gan,high,70,963,962,963,963,0,0,0,0,yes,yes,
60_INPI_gan_high_iteration38_X963_Y933,60,INPI,gan,high,38,963,933,not a real world object,963,1,0,1,0,N/A,N/A,
84_INPI_gan_high_iteration62_X963_Y729,84,INPI,gan,high,62,963,729,not a real world object,a different real world object,1,1,1,0,N/A,no,
123_INPI_gan_high_iteration22_X963_Y923,123,INPI,gan,high,22,963,923,964,964,1,1,0,0,yes,no,
55_INPI_gan_high_iteration56_X963_Y923,55,INPI,gan,high,56,963,923,962,963,1,0,0,0,yes,N/A,
34_INPI_gan_high_iteration40_X963_Y521,34,INPI,gan,high,40,963,521,963,963,0,0,0,0,yes,yes,
39_INPI_gan_high_iteration54_X963_Y962,39,INPI,gan,high,54,963,962,963,a different real world object,0,1,0,0,yes,N/A,
78_INPI_gan_high_iteration41_X963_Y927,78,INPI,gan,high,41,963,927,963,963,0,0,0,0,yes,yes,
28_INPI_gan_high_iteration42_X963_Y964,28,INPI,gan,high,42,963,964,962,963,1,0,0,0,yes,N/A,
80_INPI_gan_high_iteration20_X963_Y933,80,INPI,gan,high,20,963,933,963,963,0,0,0,0,yes,yes,
48_INPI_gan_high_iteration26_X963_Y809,48,INPI,gan,high,26,963,809,963,a different real world object,0,1,0,0,yes,N/A,
95_INPI_gan_high_iteration29_X963_Y964,95,INPI,gan,high,29,963,964,963,963,0,0,0,0,yes,yes,
64_INPI_gan_high_iteration89_X963_Y962,64,INPI,gan,high,89,963,962,a different real world object,963,1,0,0,0,yes,N/A,
98_INPI_gan_high_iteration68_X963_Y933,98,INPI,gan,high,68,963,933,a different real world object,963,1,0,0,0,yes,N/A,
44_INPI_gan_high_iteration59_X963_Y121,44,INPI,gan,high,59,963,121,964,963,1,0,0,0,yes,N/A,
68_INPI_gan_high_iteration52_X963_Y962,68,INPI,gan,high,52,963,962,963,963,0,0,0,0,yes,yes,
30_INPI_gan_high_iteration33_X963_Y962,30,INPI,gan,high,33,963,962,a different real world object,963,1,0,0,0,yes,N/A,
46_INPI_gan_high_iteration92_X963_Y934,46,INPI,gan,high,92,963,934,a different real world object,a different real world object,1,1,0,0,yes,no,
79_INPI_gan_high_iteration12_X963_Y532,79,INPI,gan,high,12,963,532,930,963,1,0,0,0,yes,N/A,
40_INPI_gan_high_iteration43_X963_Y567,40,INPI,gan,high,43,963,567,963,963,0,0,0,0,yes,yes,
117_INPI_gan_high_iteration72_X963_Y957,117,INPI,gan,high,72,963,957,963,963,0,0,0,0,yes,yes,
42_INPI_gan_high_iteration50_X963_Y809,42,INPI,gan,high,50,963,809,963,963,0,0,0,0,yes,yes,
105_INPI_gan_high_iteration58_X963_Y809,105,INPI,gan,high,58,963,809,965,a different real world object,1,1,0,0,yes,no,
45_INPI_gan_high_iteration46_X963_Y964,45,INPI,gan,high,46,963,964,963,963,0,0,0,0,yes,yes,
90_INPI_gan_high_iteration27_X963_Y965,90,INPI,gan,high,27,963,965,964,963,1,0,0,0,yes,N/A,
102_INPI_gan_high_iteration58_X963_Y957,102,INPI,gan,high,58,963,957,962,963,1,0,0,0,yes,N/A,
