Image URL,ID,DATASET,TOOL,MUT_EXT,ITER,Expected,Predicted,ASS 1,ASS 2,Misclass Human 1,Misclass Human 2,Valid Human 1,Valid Human 2,Label Preservation?,Validity?
112_INTB_sd_high_iteration8_X850_Y865,112,INTB,sd,high,8,850,865,850,865,0,1,0,0,N/A,yes
365_INTB_gan_low_iteration54_X850_Y88,365,INTB,gan,low,54,850,88,a different real world object,265,1,1,1,0,no,N/A
305_INTB_gan_low_iteration40_X850_Y265,305,INTB,gan,low,40,850,265,850,850,0,0,0,0,yes,yes
210_INTB_gan_high_iteration16_X850_Y266,210,INTB,gan,high,16,850,266,850,850,0,0,0,0,yes,yes
37_INTB_sd_low_iteration1_X850_Y191,37,INTB,sd,low,1,850,191,850,267,0,1,0,0,N/A,yes
76_INTB_sd_low_iteration35_X850_Y267,76,INTB,sd,low,35,850,267,850,267,0,1,0,0,N/A,yes
139_INTB_sd_high_iteration5_X850_Y995,139,INTB,sd,high,5,850,995,850,865,0,1,0,0,N/A,yes
97_INTB_sd_high_iteration1_X850_Y76,97,INTB,sd,high,1,850,76,850,850,0,0,0,0,yes,yes
104_INTB_sd_high_iteration7_X850_Y265,104,INTB,sd,high,7,850,265,850,850,0,0,0,0,yes,yes
57_INTB_sd_low_iteration40_X850_Y260,57,INTB,sd,low,40,850,260,850,850,0,0,0,0,yes,yes
129_INTB_sd_high_iteration14_X850_Y265,129,INTB,sd,high,14,850,265,850,850,0,0,0,0,yes,yes
209_INTB_gan_high_iteration44_X850_Y949,209,INTB,gan,high,44,850,949,not a real world object,a different real world object,1,1,1,1,no,no
25_INTB_sd_low_iteration1_X850_Y406,25,INTB,sd,low,1,850,406,850,865,0,1,0,0,N/A,yes
186_INTB_vae_low_iteration3_X850_Y258,186,INTB,vae,low,3,850,258,850,850,0,0,0,0,yes,yes
68_INTB_sd_low_iteration1_X850_Y996,68,INTB,sd,low,1,850,996,850,865,0,1,0,0,N/A,yes
114_INTB_sd_high_iteration8_X850_Y934,114,INTB,sd,high,8,850,934,850,850,0,0,0,0,yes,yes
39_INTB_sd_low_iteration113_X850_Y865,39,INTB,sd,low,113,850,865,850,850,0,0,0,0,yes,yes
363_INTB_gan_low_iteration104_X850_Y452,363,INTB,gan,low,104,850,452,850,265,0,1,0,0,N/A,yes
174_INTB_vae_low_iteration23_X850_Y927,174,INTB,vae,low,23,850,927,850,850,0,0,0,0,yes,yes
235_INTB_gan_high_iteration42_X850_Y266,235,INTB,gan,high,42,850,266,850,265,0,1,0,0,N/A,yes
236_INTB_gan_high_iteration16_X850_Y415,236,INTB,gan,high,16,850,415,265,865,1,1,0,0,no,yes
191_INTB_gan_high_iteration25_X850_Y219,191,INTB,gan,high,25,850,219,260,266,1,1,0,0,no,yes
20_INTB_sd_low_iteration106_X850_Y296,20,INTB,sd,low,106,850,296,850,850,0,0,0,0,yes,yes
302_INTB_gan_low_iteration62_X850_Y995,302,INTB,gan,low,62,850,995,850,not a real world object,0,1,0,1,N/A,N/A
192_INTB_gan_high_iteration34_X850_Y719,192,INTB,gan,high,34,850,719,850,850,0,0,0,0,yes,yes
99_INTB_sd_high_iteration10_X850_Y996,99,INTB,sd,high,10,850,996,850,865,0,1,0,0,N/A,yes
291_INTB_gan_low_iteration41_X850_Y700,291,INTB,gan,low,41,850,700,not a real world object,850,1,0,1,0,N/A,N/A
164_INTB_sd_high_iteration1_X850_Y467,164,INTB,sd,high,1,850,467,850,415,0,1,0,0,N/A,yes
301_INTB_gan_low_iteration103_X850_Y568,301,INTB,gan,low,103,850,568,850,850,0,0,0,0,yes,yes
364_INTB_gan_low_iteration68_X850_Y457,364,INTB,gan,low,68,850,457,850,850,0,0,0,0,yes,yes
208_INTB_gan_high_iteration26_X850_Y865,208,INTB,gan,high,26,850,865,850,850,0,0,0,0,yes,yes
367_INTB_gan_low_iteration62_X850_Y529,367,INTB,gan,low,62,850,529,265,850,1,0,0,0,N/A,yes
47_INTB_sd_low_iteration73_X850_Y911,47,INTB,sd,low,73,850,911,265,not a real world object,1,1,0,1,no,N/A
352_INTB_gan_low_iteration196_X850_Y865,352,INTB,gan,low,196,850,865,850,not a real world object,0,1,0,1,N/A,N/A
142_INTB_sd_high_iteration5_X850_Y189,142,INTB,sd,high,5,850,189,266,850,1,0,0,0,N/A,yes
113_INTB_sd_high_iteration8_X850_Y911,113,INTB,sd,high,8,850,911,265,not a real world object,1,1,0,1,no,N/A
41_INTB_sd_low_iteration81_X850_Y996,41,INTB,sd,low,81,850,996,265,850,1,0,0,0,N/A,yes
117_INTB_sd_high_iteration8_X850_Y354,117,INTB,sd,high,8,850,354,265,not a real world object,1,1,0,1,no,N/A
157_INTB_sd_high_iteration12_X850_Y443,157,INTB,sd,high,12,850,443,265,850,1,0,0,0,N/A,yes
16_INTB_sd_low_iteration116_X850_Y265,16,INTB,sd,low,116,850,265,850,not a real world object,0,1,0,1,N/A,N/A
72_INTB_sd_low_iteration63_X850_Y996,72,INTB,sd,low,63,850,996,865,865,1,1,0,0,no,yes
145_INTB_sd_high_iteration7_X850_Y222,145,INTB,sd,high,7,850,222,850,850,0,0,0,0,yes,yes
250_INTB_gan_high_iteration18_X850_Y415,250,INTB,gan,high,18,850,415,865,865,1,1,0,0,no,yes
77_INTB_sd_low_iteration1_X850_Y188,77,INTB,sd,low,1,850,188,865,865,1,1,0,0,no,yes
137_INTB_sd_high_iteration9_X850_Y373,137,INTB,sd,high,9,850,373,850,850,0,0,0,0,yes,yes
56_INTB_sd_low_iteration9_X850_Y388,56,INTB,sd,low,9,850,388,850,850,0,0,0,0,yes,yes
187_INTB_gan_high_iteration19_X850_Y415,187,INTB,gan,high,19,850,415,865,865,1,1,0,0,no,yes
171_INTB_sd_high_iteration1_X850_Y582,171,INTB,sd,high,1,850,582,865,850,1,0,0,0,N/A,yes
195_INTB_gan_high_iteration11_X850_Y266,195,INTB,gan,high,11,850,266,265,850,1,0,0,0,N/A,yes
90_INTB_sd_high_iteration7_X850_Y865,90,INTB,sd,high,7,850,865,865,865,1,1,0,0,no,yes
264_INTB_gan_high_iteration17_X850_Y643,264,INTB,gan,high,17,850,643,850,850,0,0,0,0,yes,yes
89_INTB_sd_high_iteration5_X850_Y865,89,INTB,sd,high,5,850,865,850,265,0,1,0,0,N/A,yes
318_INTB_gan_low_iteration72_X850_Y614,318,INTB,gan,low,72,850,614,865,865,1,1,0,0,no,yes
115_INTB_sd_high_iteration12_X850_Y189,115,INTB,sd,high,12,850,189,265,865,1,1,0,0,no,yes
277_INTB_vae_high_iteration3_X850_Y188,277,INTB,vae,high,3,850,188,850,850,0,0,0,0,yes,yes
65_INTB_sd_low_iteration1_X850_Y964,65,INTB,sd,low,1,850,964,850,265,0,1,0,0,N/A,yes
322_INTB_gan_low_iteration122_X850_Y155,322,INTB,gan,low,122,850,155,850,265,0,1,0,0,N/A,yes
223_INTB_gan_high_iteration54_X850_Y463,223,INTB,gan,high,54,850,463,850,865,0,1,0,0,N/A,yes
180_INTB_vae_low_iteration5_X850_Y258,180,INTB,vae,low,5,850,258,850,850,0,0,0,0,yes,yes
43_INTB_sd_low_iteration1_X850_Y228,43,INTB,sd,low,1,850,228,850,850,0,0,0,0,yes,yes
211_INTB_gan_high_iteration20_X850_Y415,211,INTB,gan,high,20,850,415,865,865,1,1,0,0,no,yes
346_INTB_gan_low_iteration126_X850_Y267,346,INTB,gan,low,126,850,267,265,850,1,0,0,0,N/A,yes
61_INTB_sd_low_iteration117_X850_Y911,61,INTB,sd,low,117,850,911,865,850,1,0,0,0,N/A,yes
172_INTB_sd_high_iteration5_X850_Y260,172,INTB,sd,high,5,850,260,850,850,0,0,0,0,yes,yes
17_INTB_sd_low_iteration15_X850_Y584,17,INTB,sd,low,15,850,584,850,850,0,0,0,0,yes,yes
73_INTB_sd_low_iteration41_X850_Y961,73,INTB,sd,low,41,850,961,850,not a real world object,0,1,0,1,N/A,N/A
369_INTB_gan_low_iteration104_X850_Y584,369,INTB,gan,low,104,850,584,a different real world object,not a real world object,1,1,1,1,no,no
224_INTB_gan_high_iteration12_X850_Y265,224,INTB,gan,high,12,850,265,267,850,1,0,0,0,N/A,yes
28_INTB_sd_low_iteration74_X850_Y865,28,INTB,sd,low,74,850,865,865,865,1,1,0,0,no,yes
353_INTB_gan_low_iteration83_X850_Y568,353,INTB,gan,low,83,850,568,265,850,1,0,0,0,N/A,yes
87_INTB_sd_high_iteration1_X850_Y377,87,INTB,sd,high,1,850,377,850,850,0,0,0,0,yes,yes
356_INTB_gan_low_iteration120_X850_Y348,356,INTB,gan,low,120,850,348,850,265,0,1,0,0,N/A,yes
159_INTB_sd_high_iteration1_X850_Y584,159,INTB,sd,high,1,850,584,850,850,0,0,0,0,yes,yes
316_INTB_gan_low_iteration99_X850_Y703,316,INTB,gan,low,99,850,703,267,850,1,0,0,0,N/A,yes
84_INTB_sd_low_iteration109_X850_Y260,84,INTB,sd,low,109,850,260,850,850,0,0,0,0,yes,yes
196_INTB_gan_high_iteration20_X850_Y434,196,INTB,gan,high,20,850,434,850,265,0,1,0,0,N/A,yes
262_INTB_gan_high_iteration46_X850_Y735,262,INTB,gan,high,46,850,735,850,850,0,0,0,0,yes,yes
101_INTB_sd_high_iteration14_X850_Y181,101,INTB,sd,high,14,850,181,850,850,0,0,0,0,yes,yes
237_INTB_gan_high_iteration18_X850_Y266,237,INTB,gan,high,18,850,266,850,265,0,1,0,0,N/A,yes
276_INTB_vae_high_iteration1_X850_Y258,276,INTB,vae,high,1,850,258,850,265,0,1,0,0,N/A,yes
243_INTB_gan_high_iteration41_X850_Y808,243,INTB,gan,high,41,850,808,not a real world object,not a real world object,1,1,1,1,no,no
218_INTB_gan_high_iteration34_X850_Y865,218,INTB,gan,high,34,850,865,not a real world object,not a real world object,1,1,1,1,no,no
366_INTB_gan_low_iteration46_X850_Y222,366,INTB,gan,low,46,850,222,265,265,1,1,0,0,no,yes
231_INTB_gan_high_iteration34_X850_Y865,231,INTB,gan,high,34,850,865,not a real world object,not a real world object,1,1,1,1,no,no
26_INTB_sd_low_iteration40_X850_Y260,26,INTB,sd,low,40,850,260,265,850,1,0,0,0,N/A,yes
162_INTB_sd_high_iteration5_X850_Y188,162,INTB,sd,high,5,850,188,265,850,1,0,0,0,N/A,yes
175_INTB_vae_low_iteration15_X850_Y865,175,INTB,vae,low,15,850,865,not a real world object,850,1,0,1,0,N/A,N/A
70_INTB_sd_low_iteration48_X850_Y643,70,INTB,sd,low,48,850,643,265,850,1,0,0,0,N/A,yes
30_INTB_sd_low_iteration40_X850_Y260,30,INTB,sd,low,40,850,260,850,850,0,0,0,0,yes,yes
125_INTB_sd_high_iteration2_X850_Y995,125,INTB,sd,high,2,850,995,265,865,1,1,0,0,no,yes
239_INTB_gan_high_iteration34_X850_Y265,239,INTB,gan,high,34,850,265,267,265,1,1,0,0,no,yes
128_INTB_sd_high_iteration1_X850_Y964,128,INTB,sd,high,1,850,964,850,850,0,0,0,0,yes,yes
36_INTB_sd_low_iteration85_X850_Y265,36,INTB,sd,low,85,850,265,850,850,0,0,0,0,yes,yes
335_INTB_gan_low_iteration85_X850_Y348,335,INTB,gan,low,85,850,348,850,850,0,0,0,0,yes,yes
205_INTB_gan_high_iteration14_X850_Y266,205,INTB,gan,high,14,850,266,266,265,1,1,0,0,no,yes
271_INTB_gan_high_iteration20_X850_Y267,271,INTB,gan,high,20,850,267,267,265,1,1,0,0,no,yes
198_INTB_gan_high_iteration53_X850_Y865,198,INTB,gan,high,53,850,865,not a real world object,850,1,0,1,0,N/A,N/A
