Filename,GeneratorName,run,Initial_perturbation,Perturbation_Size,ImageNumber,Iteration,Expected_label(X),Predicted_label(Y),Classification
image_0_iteration103_X850_Y951.npy,Imagenetteddy_gan,Low,0.00799975180625916,0.00399987590312958,0,103,850,951,Misclassified
image_1_iteration69_X850_Y431.npy,Imagenetteddy_gan,Low,0.00799975180625916,0.00399987590312958,1,69,850,431,Misclassified
image_2_iteration181_X850_Y995.npy,Imagenetteddy_gan,Low,0.00799975180625916,0.00399987590312958,2,181,850,995,Misclassified
image_3_iteration71_X850_Y222.npy,Imagenetteddy_gan,Low,0.00799975180625916,0.00399987590312958,3,71,850,222,Misclassified
image_4_iteration94_X850_Y219.npy,Imagenetteddy_gan,Low,0.00799975180625916,0.00399987590312958,4,94,850,219,Misclassified
image_5_iteration45_X850_Y515.npy,Imagenetteddy_gan,Low,0.00799975180625916,0.00399987590312958,5,45,850,515,Misclassified
image_6_iteration120_X850_Y348.npy,Imagenetteddy_gan,Low,0.00799975180625916,0.00399987590312958,6,120,850,348,Misclassified
image_7_iteration107_X850_Y291.npy,Imagenetteddy_gan,Low,0.00799975180625916,0.00399987590312958,7,107,850,291,Misclassified
image_8_iteration126_X850_Y267.npy,Imagenetteddy_gan,Low,0.00799975180625916,0.00399987590312958,8,126,850,267,Misclassified
image_9_iteration193_X850_Y502.npy,Imagenetteddy_gan,Low,0.00799975180625916,0.00399987590312958,9,193,850,502,Misclassified
image_10_iteration104_X850_Y452.npy,Imagenetteddy_gan,Low,0.00799975180625916,0.00399987590312958,10,104,850,452,Misclassified
image_11_iteration47_X850_Y266.npy,Imagenetteddy_gan,Low,0.00799975180625916,0.00399987590312958,11,47,850,266,Misclassified
image_12_iteration6_X850_Y181.npy,Imagenetteddy_gan,Low,0.00799975180625916,0.00399987590312958,12,6,850,181,Misclassified
image_13_iteration40_X850_Y260.npy,Imagenetteddy_gan,Low,0.00799975180625916,0.00399987590312958,13,40,850,260,Misclassified
image_14_iteration46_X850_Y222.npy,Imagenetteddy_gan,Low,0.00799975180625916,0.00399987590312958,14,46,850,222,Misclassified
image_15_iteration170_X850_Y995.npy,Imagenetteddy_gan,Low,0.00799975180625916,0.00399987590312958,15,170,850,995,Misclassified
image_16_iteration87_X850_Y265.npy,Imagenetteddy_gan,Low,0.00799975180625916,0.00399987590312958,16,87,850,265,Misclassified
image_17_iteration142_X850_Y330.npy,Imagenetteddy_gan,Low,0.00799975180625916,0.00399987590312958,17,142,850,330,Misclassified
image_18_iteration122_X850_Y191.npy,Imagenetteddy_gan,Low,0.00799975180625916,0.00399987590312958,18,122,850,191,Misclassified
image_19_iteration36_X850_Y443.npy,Imagenetteddy_gan,Low,0.00799975180625916,0.00399987590312958,19,36,850,443,Misclassified
image_20_iteration62_X850_Y529.npy,Imagenetteddy_gan,Low,0.00799975180625916,0.00399987590312958,20,62,850,529,Misclassified
image_21_iteration190_X850_Y741.npy,Imagenetteddy_gan,Low,0.00799975180625916,0.00399987590312958,21,190,850,741,Misclassified
image_22_iteration103_X850_Y568.npy,Imagenetteddy_gan,Low,0.00799975180625916,0.00399987590312958,22,103,850,568,Misclassified
