Filename,GeneratorName,run,Initial_perturbation,Perturbation_Size,ImageNumber,Iteration,Expected_label(X),Predicted_label(Y),Classification
image_0_iteration18_X2_Y0.npy,cifar10_sd,High,0.0218342552185059,0.0109171276092529,0,18,2,0,Misclassified
image_1_iteration2_X7_Y4.npy,cifar10_sd,High,0.0218342552185059,0.0109171276092529,1,2,7,4,Misclassified
image_2_iteration1_X1_Y0.npy,cifar10_sd,High,0.0218342552185059,0.0109171276092529,2,1,1,0,Misclassified
image_3_iteration10_X0_Y8.npy,cifar10_sd,High,0.0218342552185059,0.0109171276092529,3,10,0,8,Misclassified
image_4_iteration32_X3_Y4.npy,cifar10_sd,High,0.0218342552185059,0.0109171276092529,4,32,3,4,Misclassified
image_5_iteration10_X4_Y3.npy,cifar10_sd,High,0.0218342552185059,0.0109171276092529,5,10,4,3,Misclassified
image_6_iteration1_X9_Y5.npy,cifar10_sd,High,0.0218342552185059,0.0109171276092529,6,1,9,5,Misclassified
image_7_iteration6_X8_Y3.npy,cifar10_sd,High,0.0218342552185059,0.0109171276092529,7,6,8,3,Misclassified
image_8_iteration1_X6_Y4.npy,cifar10_sd,High,0.0218342552185059,0.0109171276092529,8,1,6,4,Misclassified
image_9_iteration38_X3_Y7.npy,cifar10_sd,High,0.0218342552185059,0.0109171276092529,9,38,3,7,Misclassified
image_10_iteration10_X2_Y3.npy,cifar10_sd,High,0.0218342552185059,0.0109171276092529,10,10,2,3,Misclassified
image_11_iteration25_X1_Y8.npy,cifar10_sd,High,0.0218342552185059,0.0109171276092529,11,25,1,8,Misclassified
image_12_iteration28_X6_Y2.npy,cifar10_sd,High,0.0218342552185059,0.0109171276092529,12,28,6,2,Misclassified
image_13_iteration1_X9_Y3.npy,cifar10_sd,High,0.0218342552185059,0.0109171276092529,13,1,9,3,Misclassified
image_14_iteration7_X6_Y4.npy,cifar10_sd,High,0.0218342552185059,0.0109171276092529,14,7,6,4,Misclassified
image_15_iteration25_X3_Y5.npy,cifar10_sd,High,0.0218342552185059,0.0109171276092529,15,25,3,5,Misclassified
image_16_iteration1_X6_Y2.npy,cifar10_sd,High,0.0218342552185059,0.0109171276092529,16,1,6,2,Misclassified
image_17_iteration1_X1_Y2.npy,cifar10_sd,High,0.0218342552185059,0.0109171276092529,17,1,1,2,Misclassified
image_18_iteration1_X7_Y3.npy,cifar10_sd,High,0.0218342552185059,0.0109171276092529,18,1,7,3,Misclassified
image_19_iteration1_X6_Y3.npy,cifar10_sd,High,0.0218342552185059,0.0109171276092529,19,1,6,3,Misclassified
image_20_iteration1_X1_Y3.npy,cifar10_sd,High,0.0218342552185059,0.0109171276092529,20,1,1,3,Misclassified
image_21_iteration46_X5_Y2.npy,cifar10_sd,High,0.0218342552185059,0.0109171276092529,21,46,5,2,Misclassified
image_22_iteration15_X0_Y2.npy,cifar10_sd,High,0.0218342552185059,0.0109171276092529,22,15,0,2,Misclassified
image_23_iteration1_X8_Y3.npy,cifar10_sd,High,0.0218342552185059,0.0109171276092529,23,1,8,3,Misclassified
image_24_iteration18_X7_Y3.npy,cifar10_sd,High,0.0218342552185059,0.0109171276092529,24,18,7,3,Misclassified
image_25_iteration26_X4_Y2.npy,cifar10_sd,High,0.0218342552185059,0.0109171276092529,25,26,4,2,Misclassified
image_26_iteration81_X0_Y3.npy,cifar10_sd,High,0.0218342552185059,0.0109171276092529,26,81,0,3,Misclassified
image_27_iteration22_X7_Y3.npy,cifar10_sd,High,0.0218342552185059,0.0109171276092529,27,22,7,3,Misclassified
image_28_iteration23_X7_Y3.npy,cifar10_sd,High,0.0218342552185059,0.0109171276092529,28,23,7,3,Misclassified
