Filename,GeneratorName,run,Initial_perturbation,Perturbation_Size,ImageNumber,Iteration,Expected_label(X),Predicted_label(Y),Classification
image_0_iteration25_X1_Y8.npy,cifar10_vae,Low,0.00160218644142151,0.000801093220710754,0,25,1,8,Misclassified
image_1_iteration17_X0_Y8.npy,cifar10_vae,Low,0.00160218644142151,0.000801093220710754,1,17,0,8,Misclassified
image_2_iteration2_X5_Y3.npy,cifar10_vae,Low,0.00160218644142151,0.000801093220710754,2,2,5,3,Misclassified
image_3_iteration24_X7_Y3.npy,cifar10_vae,Low,0.00160218644142151,0.000801093220710754,3,24,7,3,Misclassified
image_4_iteration82_X8_Y3.npy,cifar10_vae,Low,0.00160218644142151,0.000801093220710754,4,82,8,3,Misclassified
image_5_iteration250_X8_Y8.npy,cifar10_vae,Low,0.00160218644142151,0.000801093220710754,5,250,8,8,Classified
image_6_iteration13_X3_Y7.npy,cifar10_vae,Low,0.00160218644142151,0.000801093220710754,6,13,3,7,Misclassified
image_7_iteration38_X7_Y4.npy,cifar10_vae,Low,0.00160218644142151,0.000801093220710754,7,38,7,4,Misclassified
image_8_iteration250_X1_Y1.npy,cifar10_vae,Low,0.00160218644142151,0.000801093220710754,8,250,1,1,Classified
image_9_iteration87_X2_Y0.npy,cifar10_vae,Low,0.00160218644142151,0.000801093220710754,9,87,2,0,Misclassified
image_10_iteration250_X7_Y7.npy,cifar10_vae,Low,0.00160218644142151,0.000801093220710754,10,250,7,7,Classified
image_11_iteration62_X4_Y7.npy,cifar10_vae,Low,0.00160218644142151,0.000801093220710754,11,62,4,7,Misclassified
image_12_iteration137_X8_Y5.npy,cifar10_vae,Low,0.00160218644142151,0.000801093220710754,12,137,8,5,Misclassified
image_13_iteration219_X3_Y8.npy,cifar10_vae,Low,0.00160218644142151,0.000801093220710754,13,219,3,8,Misclassified
image_14_iteration223_X8_Y0.npy,cifar10_vae,Low,0.00160218644142151,0.000801093220710754,14,223,8,0,Misclassified
image_15_iteration72_X3_Y6.npy,cifar10_vae,Low,0.00160218644142151,0.000801093220710754,15,72,3,6,Misclassified
image_16_iteration111_X5_Y3.npy,cifar10_vae,Low,0.00160218644142151,0.000801093220710754,16,111,5,3,Misclassified
image_17_iteration222_X5_Y3.npy,cifar10_vae,Low,0.00160218644142151,0.000801093220710754,17,222,5,3,Misclassified
image_18_iteration93_X1_Y3.npy,cifar10_vae,Low,0.00160218644142151,0.000801093220710754,18,93,1,3,Misclassified
image_19_iteration151_X3_Y5.npy,cifar10_vae,Low,0.00160218644142151,0.000801093220710754,19,151,3,5,Misclassified
image_20_iteration215_X0_Y8.npy,cifar10_vae,Low,0.00160218644142151,0.000801093220710754,20,215,0,8,Misclassified
image_21_iteration36_X3_Y5.npy,cifar10_vae,Low,0.00160218644142151,0.000801093220710754,21,36,3,5,Misclassified
image_22_iteration5_X3_Y5.npy,cifar10_vae,Low,0.00160218644142151,0.000801093220710754,22,5,3,5,Misclassified
image_23_iteration250_X3_Y3.npy,cifar10_vae,Low,0.00160218644142151,0.000801093220710754,23,250,3,3,Classified
image_24_iteration250_X1_Y1.npy,cifar10_vae,Low,0.00160218644142151,0.000801093220710754,24,250,1,1,Classified
image_25_iteration31_X3_Y7.npy,cifar10_vae,Low,0.00160218644142151,0.000801093220710754,25,31,3,7,Misclassified
image_26_iteration45_X1_Y3.npy,cifar10_vae,Low,0.00160218644142151,0.000801093220710754,26,45,1,3,Misclassified
image_27_iteration199_X0_Y3.npy,cifar10_vae,Low,0.00160218644142151,0.000801093220710754,27,199,0,3,Misclassified
image_28_iteration74_X8_Y0.npy,cifar10_vae,Low,0.00160218644142151,0.000801093220710754,28,74,8,0,Misclassified
image_29_iteration250_X7_Y7.npy,cifar10_vae,Low,0.00160218644142151,0.000801093220710754,29,250,7,7,Classified
image_30_iteration129_X5_Y3.npy,cifar10_vae,Low,0.00160218644142151,0.000801093220710754,30,129,5,3,Misclassified
image_31_iteration123_X4_Y3.npy,cifar10_vae,Low,0.00160218644142151,0.000801093220710754,31,123,4,3,Misclassified
image_32_iteration147_X3_Y5.npy,cifar10_vae,Low,0.00160218644142151,0.000801093220710754,32,147,3,5,Misclassified
image_33_iteration250_X1_Y1.npy,cifar10_vae,Low,0.00160218644142151,0.000801093220710754,33,250,1,1,Classified
image_34_iteration15_X7_Y4.npy,cifar10_vae,Low,0.00160218644142151,0.000801093220710754,34,15,7,4,Misclassified
image_35_iteration26_X8_Y0.npy,cifar10_vae,Low,0.00160218644142151,0.000801093220710754,35,26,8,0,Misclassified
image_36_iteration120_X5_Y3.npy,cifar10_vae,Low,0.00160218644142151,0.000801093220710754,36,120,5,3,Misclassified
image_37_iteration50_X3_Y5.npy,cifar10_vae,Low,0.00160218644142151,0.000801093220710754,37,50,3,5,Misclassified
image_38_iteration94_X0_Y2.npy,cifar10_vae,Low,0.00160218644142151,0.000801093220710754,38,94,0,2,Misclassified
