Filename,GeneratorName,run,Initial_perturbation,Perturbation_Size,ImageNumber,Iteration,Expected_label(X),Predicted_label(Y),Classification
image_0_iteration250_X9_Y9.npy,mnist_vae,Low,0.00146425576210022,0.00073212788105011,0,250,9,9,Classified
image_1_iteration250_X1_Y1.npy,mnist_vae,Low,0.00146425576210022,0.00073212788105011,1,250,1,1,Classified
image_2_iteration250_X9_Y9.npy,mnist_vae,Low,0.00146425576210022,0.00073212788105011,2,250,9,9,Classified
image_3_iteration250_X6_Y6.npy,mnist_vae,Low,0.00146425576210022,0.00073212788105011,3,250,6,6,Classified
image_4_iteration250_X7_Y7.npy,mnist_vae,Low,0.00146425576210022,0.00073212788105011,4,250,7,7,Classified
image_5_iteration250_X2_Y2.npy,mnist_vae,Low,0.00146425576210022,0.00073212788105011,5,250,2,2,Classified
image_6_iteration250_X1_Y1.npy,mnist_vae,Low,0.00146425576210022,0.00073212788105011,6,250,1,1,Classified
image_7_iteration250_X6_Y6.npy,mnist_vae,Low,0.00146425576210022,0.00073212788105011,7,250,6,6,Classified
image_8_iteration250_X4_Y4.npy,mnist_vae,Low,0.00146425576210022,0.00073212788105011,8,250,4,4,Classified
image_9_iteration250_X3_Y3.npy,mnist_vae,Low,0.00146425576210022,0.00073212788105011,9,250,3,3,Classified
image_10_iteration250_X6_Y6.npy,mnist_vae,Low,0.00146425576210022,0.00073212788105011,10,250,6,6,Classified
image_11_iteration250_X6_Y6.npy,mnist_vae,Low,0.00146425576210022,0.00073212788105011,11,250,6,6,Classified
image_12_iteration250_X4_Y4.npy,mnist_vae,Low,0.00146425576210022,0.00073212788105011,12,250,4,4,Classified
image_13_iteration250_X1_Y1.npy,mnist_vae,Low,0.00146425576210022,0.00073212788105011,13,250,1,1,Classified
image_14_iteration250_X4_Y4.npy,mnist_vae,Low,0.00146425576210022,0.00073212788105011,14,250,4,4,Classified
image_15_iteration250_X8_Y8.npy,mnist_vae,Low,0.00146425576210022,0.00073212788105011,15,250,8,8,Classified
image_16_iteration250_X1_Y1.npy,mnist_vae,Low,0.00146425576210022,0.00073212788105011,16,250,1,1,Classified
image_17_iteration250_X2_Y2.npy,mnist_vae,Low,0.00146425576210022,0.00073212788105011,17,250,2,2,Classified
image_18_iteration250_X6_Y6.npy,mnist_vae,Low,0.00146425576210022,0.00073212788105011,18,250,6,6,Classified
image_19_iteration250_X1_Y1.npy,mnist_vae,Low,0.00146425576210022,0.00073212788105011,19,250,1,1,Classified
image_20_iteration111_X7_Y9.npy,mnist_vae,Low,0.00146425576210022,0.00073212788105011,20,111,7,9,Misclassified
image_21_iteration250_X0_Y0.npy,mnist_vae,Low,0.00146425576210022,0.00073212788105011,21,250,0,0,Classified
image_22_iteration250_X9_Y9.npy,mnist_vae,Low,0.00146425576210022,0.00073212788105011,22,250,9,9,Classified
image_23_iteration250_X9_Y9.npy,mnist_vae,Low,0.00146425576210022,0.00073212788105011,23,250,9,9,Classified
image_24_iteration250_X4_Y4.npy,mnist_vae,Low,0.00146425576210022,0.00073212788105011,24,250,4,4,Classified
image_25_iteration250_X0_Y0.npy,mnist_vae,Low,0.00146425576210022,0.00073212788105011,25,250,0,0,Classified
image_26_iteration250_X3_Y3.npy,mnist_vae,Low,0.00146425576210022,0.00073212788105011,26,250,3,3,Classified
image_27_iteration250_X6_Y6.npy,mnist_vae,Low,0.00146425576210022,0.00073212788105011,27,250,6,6,Classified
image_28_iteration250_X2_Y2.npy,mnist_vae,Low,0.00146425576210022,0.00073212788105011,28,250,2,2,Classified
image_29_iteration222_X5_Y3.npy,mnist_vae,Low,0.00146425576210022,0.00073212788105011,29,222,5,3,Misclassified
image_30_iteration250_X9_Y9.npy,mnist_vae,Low,0.00146425576210022,0.00073212788105011,30,250,9,9,Classified
image_31_iteration250_X9_Y9.npy,mnist_vae,Low,0.00146425576210022,0.00073212788105011,31,250,9,9,Classified
image_32_iteration250_X6_Y6.npy,mnist_vae,Low,0.00146425576210022,0.00073212788105011,32,250,6,6,Classified
image_33_iteration250_X3_Y3.npy,mnist_vae,Low,0.00146425576210022,0.00073212788105011,33,250,3,3,Classified
image_34_iteration250_X7_Y7.npy,mnist_vae,Low,0.00146425576210022,0.00073212788105011,34,250,7,7,Classified
image_35_iteration250_X1_Y1.npy,mnist_vae,Low,0.00146425576210022,0.00073212788105011,35,250,1,1,Classified
image_36_iteration250_X8_Y8.npy,mnist_vae,Low,0.00146425576210022,0.00073212788105011,36,250,8,8,Classified
image_37_iteration250_X6_Y6.npy,mnist_vae,Low,0.00146425576210022,0.00073212788105011,37,250,6,6,Classified
image_38_iteration250_X0_Y0.npy,mnist_vae,Low,0.00146425576210022,0.00073212788105011,38,250,0,0,Classified
image_39_iteration250_X7_Y7.npy,mnist_vae,Low,0.00146425576210022,0.00073212788105011,39,250,7,7,Classified
image_40_iteration14_X8_Y0.npy,mnist_vae,Low,0.00146425576210022,0.00073212788105011,40,14,8,0,Misclassified
image_41_iteration250_X8_Y8.npy,mnist_vae,Low,0.00146425576210022,0.00073212788105011,41,250,8,8,Classified
image_42_iteration250_X1_Y1.npy,mnist_vae,Low,0.00146425576210022,0.00073212788105011,42,250,1,1,Classified
