Sample Number,Min,Max,,
0,-2.39087009429932,2.1204617023468,,
1,-2.89646482467651,3.00744915008545,,
2,-2.32252478599548,1.85740578174591,,
3,-2.04297471046448,2.19638466835022,,
4,-2.43494725227356,2.15643954277039,,
5,-2.38098406791687,1.99161434173584,,
6,-2.61229228973389,2.70289897918701,,
7,-2.64335012435913,2.43093299865723,,
8,-2.37254810333252,2.53800344467163,,
9,-1.95132625102997,3.43642234802246,,
10,-3.04266786575317,1.98061633110046,,
11,-3.19385623931885,2.72271919250488,,
12,-2.61837387084961,1.97569835186005,,
13,-2.5332670211792,4.15059900283814,,
14,-2.17291021347046,1.94731140136719,,
15,-3.91739439964294,2.11866307258606,,
16,-2.38188242912292,2.70235776901245,,
17,-2.70490837097168,2.89234256744385,,
18,-2.69901013374329,3.23647165298462,,
19,-2.48986482620239,2.22093105316162,,
20,-2.35351872444153,2.82050085067749,,
21,-2.69759488105774,2.44397568702698,,
22,-3.02703452110291,2.70925807952881,,
23,-2.73996424674988,2.59695625305176,,
24,-2.90089702606201,2.29005146026611,,
25,-2.58365368843079,2.86739110946655,,
26,-2.95976948738098,2.92008709907532,,
27,-2.95969867706299,2.78415298461914,,
28,-2.11911702156067,2.11135149002075,,
29,-1.81308913230896,3.51348447799683,,
30,-2.2364399433136,2.96670866012573,,
31,-2.10026526451111,2.64825749397278,,
32,-2.5588960647583,2.64134240150452,,
33,-2.51711869239807,2.44596719741821,,
34,-2.67479825019836,2.78492569923401,,
35,-2.11746430397034,2.97463750839233,,
36,-2.82531523704529,3.25734686851501,,
37,-2.49482774734497,2.7703263759613,,
38,-2.71769332885742,2.18133449554443,,
39,-3.60351753234863,2.48038721084595,,
40,-3.15623378753662,2.65223336219788,,
41,-2.87491917610168,2.57929444313049,,
42,-2.2890202999115,2.38323616981506,,
43,-2.18352341651916,2.28020668029785,,
44,-2.42661929130554,2.94639468193054,,
45,-2.41463422775269,2.82465815544128,,
46,-2.45822429656982,2.94961905479431,,
47,-2.36467552185059,2.17033553123474,,
48,-2.95140957832336,2.23949098587036,,
49,-2.39718818664551,2.739333152771,,
50,-1.96833384037018,2.30914974212646,,
51,-2.46691942214966,2.58012127876282,,
52,-3.12228775024414,3.03212094306946,,
53,-2.42151093482971,2.09036684036255,,
54,-3.12616157531738,2.5768346786499,,
55,-2.63460469245911,2.36416006088257,,
56,-2.34331750869751,2.38572120666504,,
57,-2.53263831138611,2.7963981628418,,
58,-2.48843002319336,2.25983476638794,,
59,-2.37593913078308,2.77661728858948,,
60,-2.97435188293457,2.16838455200195,,
61,-2.12407684326172,2.64757776260376,,
62,-2.34462475776672,2.43509435653687,,
63,-2.4568030834198,2.80414462089539,,
64,-3.81960821151733,3.59546327590942,,
65,-2.53936839103699,2.23138546943665,,
66,-4.25129985809326,2.0293185710907,,
67,-2.69534587860107,2.21061778068542,,
68,-1.95963847637177,2.78591418266296,,
69,-2.27747082710266,2.46135663986206,,
70,-2.41725087165833,2.90304374694824,,
71,-1.97671151161194,2.31891918182373,,
72,-2.43223190307617,2.12839102745056,,
73,-2.755450963974,2.7738299369812,,
74,-2.07292437553406,1.930335521698,,
75,-2.29233980178833,3.176189661026,,
76,-2.82121515274048,2.89188957214355,,
77,-2.69959211349487,2.8472752571106,,
78,-2.49633407592773,2.11307239532471,,
79,-2.29786539077759,2.59972953796387,,
80,-2.02069473266602,1.84940230846405,,
81,-2.1597204208374,2.7580201625824,,
82,-3.09608054161072,2.11611461639404,,
83,-3.03898930549622,3.17902970314026,,
84,-2.46312475204468,2.994389295578,,
85,-1.87457013130188,2.96971821784973,,
86,-2.84340119361877,2.65752530097961,,
87,-2.16116261482239,2.42355179786682,,
88,-1.99753201007843,2.60610890388489,,
89,-2.39905285835266,1.99486196041107,,
90,-2.29818820953369,2.42763113975525,,
91,-2.13040494918823,2.1853334903717,,
92,-2.26240253448486,2.77558660507202,,
93,-2.68895936012268,3.67254066467285,,
94,-2.38945746421814,2.43833065032959,,
95,-2.16225457191467,2.53281378746033,,
96,-2.53394222259521,3.12870764732361,,
97,-1.68307065963745,2.90653014183044,,
98,-2.66773080825806,2.52586317062378,,
99,-1.66332352161407,2.34443354606628,,
100,-2.41745471954346,2.74643659591675,,
101,-2.19460940361023,2.58305692672729,,
102,-3.36405873298645,2.1532244682312,,
103,-2.77814841270447,2.00660395622253,,
104,-3.21910285949707,1.70462274551392,,
105,-2.38703155517578,2.11436676979065,,
106,-2.82747602462769,2.22745704650879,,
107,-2.13390135765076,2.38932514190674,,
108,-2.74805736541748,2.59403371810913,,
109,-2.34679269790649,2.64181661605835,,
110,-3.21781134605408,2.99629926681519,,
111,-2.37987852096558,2.63808107376099,,
112,-2.12345242500305,1.80256235599518,,
113,-2.3578155040741,2.70367360115051,,
114,-3.06964468955994,2.46157741546631,,
115,-2.14498925209045,2.00450110435486,,
116,-2.31813955307007,3.06733202934265,,
117,-3.12711787223816,1.8852641582489,,
118,-2.11798501014709,2.52775192260742,,
119,-2.40945601463318,2.5226845741272,,
