Filename,GeneratorName,run,Initial_perturbation,Perturbation_Size,ImageNumber,Iteration,Expected_label(X),Predicted_label(Y),Classification
image_0_iteration126_X963_Y964.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,0,126,963,964,Misclassified
image_1_iteration24_X963_Y956.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,1,24,963,956,Misclassified
image_2_iteration97_X963_Y911.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,2,97,963,911,Misclassified
image_3_iteration118_X963_Y962.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,3,118,963,962,Misclassified
image_4_iteration149_X963_Y567.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,4,149,963,567,Misclassified
image_5_iteration1_X963_Y964.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,5,1,963,964,Misclassified
image_6_iteration250_X963_Y963.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,6,250,963,963,Classified
image_7_iteration94_X963_Y930.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,7,94,963,930,Misclassified
image_8_iteration196_X963_Y964.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,8,196,963,964,Misclassified
image_9_iteration113_X963_Y964.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,9,113,963,964,Misclassified
image_10_iteration16_X963_Y965.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,10,16,963,965,Misclassified
image_11_iteration47_X963_Y121.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,11,47,963,121,Misclassified
image_12_iteration67_X963_Y750.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,12,67,963,750,Misclassified
image_13_iteration250_X963_Y963.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,13,250,963,963,Classified
image_14_iteration37_X963_Y927.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,14,37,963,927,Misclassified
image_15_iteration180_X963_Y930.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,15,180,963,930,Misclassified
image_16_iteration65_X963_Y964.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,16,65,963,964,Misclassified
image_17_iteration28_X963_Y927.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,17,28,963,927,Misclassified
image_18_iteration37_X963_Y964.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,18,37,963,964,Misclassified
image_19_iteration76_X963_Y930.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,19,76,963,930,Misclassified
image_20_iteration99_X963_Y964.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,20,99,963,964,Misclassified
image_21_iteration207_X963_Y964.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,21,207,963,964,Misclassified
image_22_iteration30_X963_Y964.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,22,30,963,964,Misclassified
image_23_iteration28_X963_Y824.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,23,28,963,824,Misclassified
image_24_iteration223_X963_Y956.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,24,223,963,956,Misclassified
image_25_iteration125_X963_Y930.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,25,125,963,930,Misclassified
image_26_iteration156_X963_Y962.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,26,156,963,962,Misclassified
image_27_iteration212_X963_Y964.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,27,212,963,964,Misclassified
image_28_iteration178_X963_Y962.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,28,178,963,962,Misclassified
image_29_iteration40_X963_Y891.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,29,40,963,891,Misclassified
image_30_iteration115_X963_Y824.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,30,115,963,824,Misclassified
image_31_iteration203_X963_Y927.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,31,203,963,927,Misclassified
image_32_iteration53_X963_Y964.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,32,53,963,964,Misclassified
image_33_iteration168_X963_Y930.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,33,168,963,930,Misclassified
image_34_iteration1_X963_Y964.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,34,1,963,964,Misclassified
image_35_iteration59_X963_Y964.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,35,59,963,964,Misclassified
image_36_iteration154_X963_Y953.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,36,154,963,953,Misclassified
image_37_iteration9_X963_Y930.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,37,9,963,930,Misclassified
image_38_iteration1_X963_Y962.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,38,1,963,962,Misclassified
image_39_iteration90_X963_Y964.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,39,90,963,964,Misclassified
image_40_iteration122_X963_Y591.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,40,122,963,591,Misclassified
image_41_iteration36_X963_Y962.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,41,36,963,962,Misclassified
image_42_iteration9_X963_Y964.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,42,9,963,964,Misclassified
image_43_iteration11_X963_Y964.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,43,11,963,964,Misclassified
image_44_iteration71_X963_Y965.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,44,71,963,965,Misclassified
image_45_iteration69_X963_Y922.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,45,69,963,922,Misclassified
image_46_iteration126_X963_Y110.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,46,126,963,110,Misclassified
image_47_iteration20_X963_Y964.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,47,20,963,964,Misclassified
image_48_iteration31_X963_Y923.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,48,31,963,923,Misclassified
image_49_iteration177_X963_Y964.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,49,177,963,964,Misclassified
image_50_iteration214_X963_Y962.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,50,214,963,962,Misclassified
image_51_iteration38_X963_Y964.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,51,38,963,964,Misclassified
image_52_iteration1_X963_Y930.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,52,1,963,930,Misclassified
image_53_iteration48_X963_Y959.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,53,48,963,959,Misclassified
image_54_iteration39_X963_Y923.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,54,39,963,923,Misclassified
image_55_iteration32_X963_Y927.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,55,32,963,927,Misclassified
image_56_iteration128_X963_Y964.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,56,128,963,964,Misclassified
image_57_iteration8_X963_Y964.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,57,8,963,964,Misclassified
image_58_iteration52_X963_Y962.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,58,52,963,962,Misclassified
image_59_iteration9_X963_Y964.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,59,9,963,964,Misclassified
image_60_iteration1_X963_Y121.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,60,1,963,121,Misclassified
image_61_iteration99_X963_Y930.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,61,99,963,930,Misclassified
image_62_iteration81_X963_Y965.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,62,81,963,965,Misclassified
image_63_iteration1_X963_Y891.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,63,1,963,891,Misclassified
image_64_iteration1_X963_Y964.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,64,1,963,964,Misclassified
image_65_iteration88_X963_Y930.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,65,88,963,930,Misclassified
image_66_iteration26_X963_Y962.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,66,26,963,962,Misclassified
image_67_iteration23_X963_Y964.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,67,23,963,964,Misclassified
image_68_iteration113_X963_Y930.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,68,113,963,930,Misclassified
image_69_iteration154_X963_Y964.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,69,154,963,964,Misclassified
image_70_iteration13_X963_Y962.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,70,13,963,962,Misclassified
image_71_iteration113_X963_Y930.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,71,113,963,930,Misclassified
image_72_iteration27_X963_Y930.npy,Imagenetpizza_sd,Low,0.00217727899551392,0.00108863949775696,72,27,963,930,Misclassified
