Filename,GeneratorName,run,Initial_perturbation,Perturbation_Size,ImageNumber,Iteration,Expected_label(X),Predicted_label(Y),Classification
image_0_iteration2_X4_Y1.npy,svhn_sd,High,0.0217826347351074,0.0108913173675537,0,2,4,1,Misclassified
image_1_iteration1_X6_Y5.npy,svhn_sd,High,0.0217826347351074,0.0108913173675537,1,1,6,5,Misclassified
image_2_iteration1_X0_Y8.npy,svhn_sd,High,0.0217826347351074,0.0108913173675537,2,1,0,8,Misclassified
image_3_iteration1_X3_Y2.npy,svhn_sd,High,0.0217826347351074,0.0108913173675537,3,1,3,2,Misclassified
image_4_iteration1_X0_Y8.npy,svhn_sd,High,0.0217826347351074,0.0108913173675537,4,1,0,8,Misclassified
image_5_iteration1_X2_Y3.npy,svhn_sd,High,0.0217826347351074,0.0108913173675537,5,1,2,3,Misclassified
image_6_iteration1_X5_Y9.npy,svhn_sd,High,0.0217826347351074,0.0108913173675537,6,1,5,9,Misclassified
image_7_iteration1_X3_Y8.npy,svhn_sd,High,0.0217826347351074,0.0108913173675537,7,1,3,8,Misclassified
image_8_iteration1_X3_Y7.npy,svhn_sd,High,0.0217826347351074,0.0108913173675537,8,1,3,7,Misclassified
image_9_iteration2_X9_Y0.npy,svhn_sd,High,0.0217826347351074,0.0108913173675537,9,2,9,0,Misclassified
image_10_iteration1_X5_Y6.npy,svhn_sd,High,0.0217826347351074,0.0108913173675537,10,1,5,6,Misclassified
image_11_iteration1_X6_Y1.npy,svhn_sd,High,0.0217826347351074,0.0108913173675537,11,1,6,1,Misclassified
image_12_iteration116_X5_Y6.npy,svhn_sd,High,0.0217826347351074,0.0108913173675537,12,116,5,6,Misclassified
image_13_iteration1_X4_Y2.npy,svhn_sd,High,0.0217826347351074,0.0108913173675537,13,1,4,2,Misclassified
image_14_iteration1_X0_Y8.npy,svhn_sd,High,0.0217826347351074,0.0108913173675537,14,1,0,8,Misclassified
image_15_iteration1_X5_Y6.npy,svhn_sd,High,0.0217826347351074,0.0108913173675537,15,1,5,6,Misclassified
image_16_iteration1_X2_Y6.npy,svhn_sd,High,0.0217826347351074,0.0108913173675537,16,1,2,6,Misclassified
image_17_iteration57_X2_Y3.npy,svhn_sd,High,0.0217826347351074,0.0108913173675537,17,57,2,3,Misclassified
image_18_iteration1_X0_Y4.npy,svhn_sd,High,0.0217826347351074,0.0108913173675537,18,1,0,4,Misclassified
image_19_iteration7_X4_Y0.npy,svhn_sd,High,0.0217826347351074,0.0108913173675537,19,7,4,0,Misclassified
image_20_iteration1_X8_Y5.npy,svhn_sd,High,0.0217826347351074,0.0108913173675537,20,1,8,5,Misclassified
image_21_iteration11_X2_Y0.npy,svhn_sd,High,0.0217826347351074,0.0108913173675537,21,11,2,0,Misclassified
image_22_iteration1_X3_Y6.npy,svhn_sd,High,0.0217826347351074,0.0108913173675537,22,1,3,6,Misclassified
image_23_iteration1_X1_Y0.npy,svhn_sd,High,0.0217826347351074,0.0108913173675537,23,1,1,0,Misclassified
image_24_iteration1_X7_Y1.npy,svhn_sd,High,0.0217826347351074,0.0108913173675537,24,1,7,1,Misclassified
image_25_iteration1_X0_Y9.npy,svhn_sd,High,0.0217826347351074,0.0108913173675537,25,1,0,9,Misclassified
image_26_iteration17_X3_Y5.npy,svhn_sd,High,0.0217826347351074,0.0108913173675537,26,17,3,5,Misclassified
