Filename,GeneratorName,run,Initial_perturbation,Perturbation_Size,ImageNumber,Iteration,Expected_label(X),Predicted_label(Y),Classification
image_0_iteration68_X4_Y1.npy,svhn_sd,Low,0.00217826347351074,0.00108913173675537,0,68,4,1,Misclassified
image_1_iteration50_X9_Y8.npy,svhn_sd,Low,0.00217826347351074,0.00108913173675537,1,50,9,8,Misclassified
image_2_iteration250_X9_Y9.npy,svhn_sd,Low,0.00217826347351074,0.00108913173675537,2,250,9,9,Classified
image_3_iteration95_X5_Y2.npy,svhn_sd,Low,0.00217826347351074,0.00108913173675537,3,95,5,2,Misclassified
image_4_iteration40_X0_Y1.npy,svhn_sd,Low,0.00217826347351074,0.00108913173675537,4,40,0,1,Misclassified
image_5_iteration104_X4_Y3.npy,svhn_sd,Low,0.00217826347351074,0.00108913173675537,5,104,4,3,Misclassified
image_6_iteration250_X2_Y2.npy,svhn_sd,Low,0.00217826347351074,0.00108913173675537,6,250,2,2,Classified
image_7_iteration1_X8_Y3.npy,svhn_sd,Low,0.00217826347351074,0.00108913173675537,7,1,8,3,Misclassified
image_8_iteration1_X3_Y2.npy,svhn_sd,Low,0.00217826347351074,0.00108913173675537,8,1,3,2,Misclassified
image_9_iteration75_X5_Y8.npy,svhn_sd,Low,0.00217826347351074,0.00108913173675537,9,75,5,8,Misclassified
image_10_iteration135_X4_Y1.npy,svhn_sd,Low,0.00217826347351074,0.00108913173675537,10,135,4,1,Misclassified
image_11_iteration250_X8_Y8.npy,svhn_sd,Low,0.00217826347351074,0.00108913173675537,11,250,8,8,Classified
image_12_iteration1_X3_Y5.npy,svhn_sd,Low,0.00217826347351074,0.00108913173675537,12,1,3,5,Misclassified
image_13_iteration1_X5_Y3.npy,svhn_sd,Low,0.00217826347351074,0.00108913173675537,13,1,5,3,Misclassified
image_14_iteration170_X6_Y5.npy,svhn_sd,Low,0.00217826347351074,0.00108913173675537,14,170,6,5,Misclassified
image_15_iteration250_X1_Y1.npy,svhn_sd,Low,0.00217826347351074,0.00108913173675537,15,250,1,1,Classified
image_16_iteration250_X6_Y6.npy,svhn_sd,Low,0.00217826347351074,0.00108913173675537,16,250,6,6,Classified
image_17_iteration115_X2_Y7.npy,svhn_sd,Low,0.00217826347351074,0.00108913173675537,17,115,2,7,Misclassified
image_18_iteration250_X8_Y8.npy,svhn_sd,Low,0.00217826347351074,0.00108913173675537,18,250,8,8,Classified
image_19_iteration222_X2_Y4.npy,svhn_sd,Low,0.00217826347351074,0.00108913173675537,19,222,2,4,Misclassified
image_20_iteration201_X7_Y1.npy,svhn_sd,Low,0.00217826347351074,0.00108913173675537,20,201,7,1,Misclassified
image_21_iteration3_X0_Y6.npy,svhn_sd,Low,0.00217826347351074,0.00108913173675537,21,3,0,6,Misclassified
image_22_iteration23_X4_Y6.npy,svhn_sd,Low,0.00217826347351074,0.00108913173675537,22,23,4,6,Misclassified
image_23_iteration250_X5_Y5.npy,svhn_sd,Low,0.00217826347351074,0.00108913173675537,23,250,5,5,Classified
image_24_iteration108_X9_Y1.npy,svhn_sd,Low,0.00217826347351074,0.00108913173675537,24,108,9,1,Misclassified
image_25_iteration30_X1_Y4.npy,svhn_sd,Low,0.00217826347351074,0.00108913173675537,25,30,1,4,Misclassified
image_26_iteration69_X8_Y9.npy,svhn_sd,Low,0.00217826347351074,0.00108913173675537,26,69,8,9,Misclassified
image_27_iteration1_X8_Y6.npy,svhn_sd,Low,0.00217826347351074,0.00108913173675537,27,1,8,6,Misclassified
image_28_iteration23_X2_Y9.npy,svhn_sd,Low,0.00217826347351074,0.00108913173675537,28,23,2,9,Misclassified
image_29_iteration163_X9_Y8.npy,svhn_sd,Low,0.00217826347351074,0.00108913173675537,29,163,9,8,Misclassified
image_30_iteration250_X8_Y8.npy,svhn_sd,Low,0.00217826347351074,0.00108913173675537,30,250,8,8,Classified
image_31_iteration129_X1_Y9.npy,svhn_sd,Low,0.00217826347351074,0.00108913173675537,31,129,1,9,Misclassified
image_32_iteration250_X5_Y5.npy,svhn_sd,Low,0.00217826347351074,0.00108913173675537,32,250,5,5,Classified
image_33_iteration250_X1_Y1.npy,svhn_sd,Low,0.00217826347351074,0.00108913173675537,33,250,1,1,Classified
image_34_iteration1_X6_Y0.npy,svhn_sd,Low,0.00217826347351074,0.00108913173675537,34,1,6,0,Misclassified
image_35_iteration250_X4_Y4.npy,svhn_sd,Low,0.00217826347351074,0.00108913173675537,35,250,4,4,Classified
image_36_iteration250_X7_Y7.npy,svhn_sd,Low,0.00217826347351074,0.00108913173675537,36,250,7,7,Classified
image_37_iteration147_X7_Y1.npy,svhn_sd,Low,0.00217826347351074,0.00108913173675537,37,147,7,1,Misclassified
image_38_iteration250_X4_Y4.npy,svhn_sd,Low,0.00217826347351074,0.00108913173675537,38,250,4,4,Classified
image_39_iteration1_X8_Y3.npy,svhn_sd,Low,0.00217826347351074,0.00108913173675537,39,1,8,3,Misclassified
image_40_iteration250_X5_Y5.npy,svhn_sd,Low,0.00217826347351074,0.00108913173675537,40,250,5,5,Classified
image_41_iteration1_X2_Y0.npy,svhn_sd,Low,0.00217826347351074,0.00108913173675537,41,1,2,0,Misclassified
image_42_iteration1_X8_Y3.npy,svhn_sd,Low,0.00217826347351074,0.00108913173675537,42,1,8,3,Misclassified
image_43_iteration227_X1_Y0.npy,svhn_sd,Low,0.00217826347351074,0.00108913173675537,43,227,1,0,Misclassified
image_44_iteration1_X5_Y6.npy,svhn_sd,Low,0.00217826347351074,0.00108913173675537,44,1,5,6,Misclassified
image_45_iteration250_X5_Y5.npy,svhn_sd,Low,0.00217826347351074,0.00108913173675537,45,250,5,5,Classified
image_46_iteration155_X0_Y6.npy,svhn_sd,Low,0.00217826347351074,0.00108913173675537,46,155,0,6,Misclassified
